tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"This afternoon, the House adopted an amendment to the #FY20NDAA, by a vote of 239 to 187, to prohibit money from the Special Defense Acquisition Fund to aid Saudi Arabia or the United Arab Emirates if this aid could support hostilities in Yemen 2/",1149419190639636480,2019-07-11,20:44:24,hascdemocrats,2,13,16,2019-07-11 20:44:24
And we’re back folks! We’re sure you noticed the Twitter server went down. Here’s what you missed on the #FY20NDAA while we were away 1/,1149418920119611393,2019-07-11,20:43:20,hascdemocrats,1,5,14,2019-07-11 20:43:20
"By a vote of 219 to 210, the House just adopted an amendment to the #FY20NDAA that requires reporting on financial costs and national security benefits for overseas military operations, a step towards greater fiscal responsibility at the DoD.",1149386826936983552,2019-07-11,18:35:48,hascdemocrats,0,5,6,2019-07-11 18:35:48
"By a vote of 242 to 187, the House just adopted an amendment to the #FY20NDAA that will put an end to the President's discriminatory, unconstitutional ban on transgender service members. Thank you @RepSpeier for your tireless work to create a more inclusive military.",1149379492466614278,2019-07-11,18:06:40,hascdemocrats,7,46,138,2019-07-11 18:06:40
"President Trump’s ban on transgender service members is discriminatory and unconstitutional. Thanks to @RepSpeier’s leadership, an amendment to the #FY20NDAA will put an end to this terrible ban.",1149092973826707456,2019-07-10,23:08:08,hascdemocrats,1,2,6,2019-07-10 23:08:08
"FACT CHECK: Republicans like @RobWittman claim they've never voted against an NDAA before, all as part of their effort to make the #FY20NDAA partisan. 

Hate to break it to you Mr. Wittman, but you voted against final passage of the FY11 NDAA. 

 http://clerk.house.gov/evs/2010/roll336.xml …",1149069222577954816,2019-07-10,21:33:45,hascdemocrats,0,1,2,2019-07-10 21:33:45
"It's time we do right by our service members and their families, and the #FY20NDAA will do exactly that. https://twitter.com/RulesDemocrats/status/1149037674675806209 …",1149057699298074628,2019-07-10,20:47:58,hascdemocrats,0,3,4,2019-07-10 20:47:58
"Today, as we celebrate #IndependenceDay and the birth of the nation, we all should remember how lucky we are to be Americans.",1146756436589981697,2019-07-04,12:23:34,hascdemocrats,2,0,9,2019-07-04 12:23:34
LETTER: Committee Chairs Question Rationale for Proposed NSC Climate Change Panel  https://armedservices.house.gov/index.cfm?p=press-releases&id=01A8D61A-8857-4BE1-96A1-AB3AB2B04B00 … pic.twitter.com/kT9ocvkArI,1101235331498737666,2019-02-28,21:38:57,hascdemocrats,0,11,8,2019-02-28 21:38:57
Streaming LIVE this afternoon - hearing on Transgender Military Service Policy. Watch it here: https://youtu.be/cc2vqR8P4SY ,1100831703835312129,2019-02-27,18:55:05,hascdemocrats,0,6,5,2019-02-27 18:55:05
