tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"On the frontlines of delivering real help to those in dire need with Hawai'i Health & Harm Reduction Center ( http://www.hhhrc.org ) and partners. Lt. Gov. Josh Green was also here with me. So much better when Federal, State, City, and the community are all at table. pic.twitter.com/BNFubIWaZC",1146609334970802176,2019-07-04,02:39:03,repedcase,2,1,5,2019-07-04 02:39:03
"Talking story with the Rotary Club of Waikiki, the Friendly Club. Mahalo for the great Q&A! pic.twitter.com/VDmaErf6bi",1146606866920665089,2019-07-04,02:29:14,repedcase,1,1,3,2019-07-04 02:29:14
"On KHON Wake Up 2day with Kristine Uyeno this morning to talk about my first six months back in Congress, progress in the Appropriations Committee, and needed regulations on tour helicopters and small aircrafts. https://www.khon2.com/wake-up-2day/u-s-rep-ed-case-sums-up-first-six-months-back-in-congress/ …",1146547722024914945,2019-07-03,22:34:13,repedcase,5,1,3,2019-07-03 22:34:13
"Really appreciated sitting down with Indivisible Hawai’i for a serious discussion on the “three Is”: impeachment, immigration, and Iran. pic.twitter.com/Jzicw9PTvc",1146246500927676420,2019-07-03,02:37:16,repedcase,3,1,3,2019-07-03 02:37:16
"Always enjoy talking story with Mike Buck on his morning show on 690AM/94.3FM The Answer. Topics this morning ranged all over from immigration to oceans, Indo-Pacific, military and my first half year back in Congress. pic.twitter.com/kkWD8YhrYi",1146165363391885313,2019-07-02,21:14:52,repedcase,0,1,2,2019-07-02 21:14:52
My great team and I are marking a very full and productive first half year in Congress. But no time to rest; so much more ahead. Join us at  http://case.house.gov . pic.twitter.com/3nDKMPZYPk,1146125099793362944,2019-07-02,18:34:52,repedcase,0,1,3,2019-07-02 18:34:52
"Awesome visit with UH grad Isar Mostafanezhad and his team at the homegrown @NaluScientific at the Manoa Innovation Center. Really proud of their world class work in high-performance electronics, supported by federal R&D funding, and excited for their next chapters. pic.twitter.com/LuQZ1pmMnd",1145894718225543168,2019-07-02,03:19:25,repedcase,0,5,6,2019-07-02 03:19:25
Tracking & updating the status of repairs to the USS Arizona Memorial & dock per the @NatlParkService's report to HI Congressional delegation: work is still on schedule for completion & reopening this fall & by this December 7th remembrances at the latest http://bit.ly/2LDFkxt ,1145757738518994944,2019-07-01,18:15:06,repedcase,0,3,3,2019-07-01 18:15:06
Honored to be the guest speaker and the installation of the new officers and directors of Rotary Club of ʻEwa Beach including incoming President Paul Alimbuyao. What a great first year for Hawaiʻi’s newest Rotary. Service Above Self! pic.twitter.com/zzBOfqkbxl,1145495563300769792,2019-07-01,00:53:19,repedcase,0,2,6,2019-07-01 00:53:19
"NOAA’s officer corps, one of our seven uniformed services, proudly and professionally operate NOAA’s highly specialized fleet of research and survey ships and aircraft.",1123357437086633986,2019-04-30,22:44:18,repedcase,0,1,3,2019-04-30 22:44:18
"Our National Oceanic & Atmospheric Administration (NOAA) is on the cutting edge of worldclass research on our world’s air and ocean, much of it right at home in Hawai’i.",1123357436428083205,2019-04-30,22:44:18,repedcase,1,1,3,2019-04-30 22:44:18
Today I introduced the NOAA Commissioned Officer Corps Amendments Act to maintain  the best and brightest officer corps through recruitment and retention reforms. Mahalo to @RepDonYoung and @RepHuffman for joining me in introducing this bill. pic.twitter.com/jNRs58lMKk,1123357344442802178,2019-04-30,22:43:56,repedcase,1,1,5,2019-04-30 22:43:56
