Handle,Start,End
usrepgarypalmer,11/1/18,Present
repwesterman,11/1/18,Present
repratcliffe,11/1/18,Present
repleezeldin,11/1/18,Present
staceyplaskett,11/1/18,Present
repmoolenaar,11/1/18,Present
rephastingsfl,11/1/18,Present
reprobwoodall,11/1/18,Present
repkclark,11/1/18,Present
senbooker,11/1/18,Present
repguthrie,11/1/18,Present
usrepkcastor,11/1/18,Present
repblaine,11/1/18,Present
repbeatty,11/1/18,Present
peterwelch,11/1/18,Present
reprobinkelly,11/1/18,Present
rep_hunter,11/1/18,Present
repchrissmith,11/1/18,Present
repjuanvargas,11/1/18,Present
senatemajldr,11/1/18,Present
repbrownley,11/1/18,Present
repcardenas,11/1/18,Present
stevescalise,11/1/18,Present
repdonaldpayne,11/1/18,Present
martinheinrich,11/1/18,Present
senatorrisch,11/1/18,Present
congressmanruiz,11/1/18,Present
repandybarr,11/1/18,Present
repfilemonvela,11/1/18,Present
repbillfoster,11/1/18,Present
reprwilliams,11/1/18,Present
reploisfrankel,11/1/18,Present
senatorbaldwin,11/1/18,Present
reppaulcook,11/1/18,Present
repveasey,11/1/18,Present
susanwbrooks,11/1/18,Present
repseanmaloney,11/1/18,Present
repchrisstewart,11/1/18,Present
reptedyoho,11/1/18,Present
repschneider,11/1/18,Present
senatorfischer,11/1/18,Present
replamalfa,11/1/18,Present
repdennyheck,11/1/18,Present
senangusking,11/1/18,Present
repwalorski,11/1/18,Present
repdougcollins,11/1/18,Present
repmullin,11/1/18,Present
repderekkilmer,11/1/18,Present
repanniekuster,11/1/18,Present
senduckworth,11/1/18,Present
repholding,11/1/18,Present
reptomrice,11/1/18,Present
repchriscollins,11/1/18,Present
txrandy14,11/1/18,Present
repjoekennedy,11/1/18,Present
replowenthal,11/1/18,Present
repannwagner,11/1/18,Present
senkevincramer,11/1/18,Present
repdankildee,11/1/18,Present
repmarktakano,11/1/18,Present
replipinski,11/1/18,Present
repdelbene,11/1/18,Present
rodneydavis,11/1/18,Present
repdavejoyce,11/1/18,Present
repthomasmassie,11/1/18,Present
senwarren,11/1/18,Present
repmarkmeadows,11/1/18,Present
repandyharrismd,11/1/18,Present
repbera,11/1/18,Present
senatorhassan,11/1/18,Present
mikekellypa,11/1/18,Present
reprichhudson,11/1/18,Present
pattiberi,11/1/18,Present
jimpressoffice,11/1/18,Present
kycomer,11/1/18,Present
repdavidrouzer,11/1/18,Present
repdannydavis,11/1/18,Present
repcummings,11/1/18,Present
repcartwright,11/1/18,Present
mikecrapo,11/1/18,Present
lacyclaymo1,11/1/18,Present
repdlamborn,11/1/18,Present
repmarcykaptur,11/1/18,Present
repdean,11/1/18,Present
repbonamici,11/1/18,Present
rephalrogers,11/1/18,Present
repbradwenstrup,11/1/18,Present
bettymccollum04,11/1/18,Present
senatortester,11/1/18,Present
daveloebsack,11/1/18,Present
senjackreed,11/1/18,Present
reproybalallard,11/1/18,Present
senfeinstein,11/1/18,Present
repjeffries,11/1/18,Present
reprichardneal,11/1/18,Present
repsusandavis,11/1/18,Present
gkbutterfield,11/1/18,Present
replancegooden,11/1/18,Present
repricklarsen,11/1/18,Present
markamodeinv2,11/1/18,Present
rephorsford,11/1/18,Present
repmcnerney,11/1/18,Present
repjohnyarmuth,11/1/18,Present
senjohnhoeven,11/1/18,Present
repterrisewell,11/1/18,Present
mactxpress,11/1/18,Present
repsarbanes,11/1/18,Present
replindasanchez,11/1/18,Present
repstephenlynch,11/1/18,Present
call_me_dutch,11/1/18,Present
repbobbyrush,11/1/18,Present
repthompson,11/1/18,Present
congpalazzo,11/1/18,Present
senjohnthune,11/1/18,Present
repadriansmith,11/1/18,Present
conawaytx11,11/1/18,Present
pattymurray,11/1/18,Present
senatorenzi,11/1/18,Present
housevetaffairs,11/1/18,Present
repwebster,11/1/18,Present
marshablackburn,11/1/18,Present
senblumenthal,11/1/18,Present
repzoelofgren,11/1/18,Present
reprichmond,11/1/18,Present
senatorwicker,11/1/18,Present
repjoewilson,11/1/18,Present
reptomreed,11/1/18,Present
reppeterdefazio,11/1/18,Present
ronwyden,11/1/18,Present
senatorcarper,11/1/18,Present
sanfordbishop,11/1/18,Present
repannaeshoo,11/1/18,Present
repbarbaralee,11/1/18,Present
sethmoulton,11/1/18,Present
housejudiciary,11/1/18,Present
repjimcosta,11/1/18,Present
herrerabeutler,11/1/18,Present
reptipton,11/1/18,Present
senatorleahy,11/1/18,Present
repfranklucas,11/1/18,Present
senwhitehouse,11/1/18,Present
