tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Proud of the generosity of Ada's own Walmart (Store 231) and customers to further @okchf 's capacity to fund critical pediatric research and education programs for children across Oklahoma. Read more ⬇️#FourthDistrictFriday https://www.theadanews.com/news/local_news/walmart-sam-s-club-raise-funds-for-children-s-hospital/article_4bf216e8-33a3-57b4-9133-7712c13ca1aa.html …,1106627327373512705,2019-03-15,18:44:49,tomcoleok04,1,2,7,2019-03-15 18:44:49
"My thoughts are with the families, loved ones and communities impacted by this hate-filled attack on free worship.",1106603318040772613,2019-03-15,17:09:25,tomcoleok04,3,0,12,2019-03-15 17:09:25
"I was deeply saddened to hear about the horrific tragedy in New Zealand this morning. As someone who has had the privilege of visiting Christchurch, I know what a welcoming and caring community it is. I am saddened that it has been scarred by such an unspeakable act of terror.",1106603317403238401,2019-03-15,17:09:25,tomcoleok04,2,2,22,2019-03-15 17:09:25
"After a busy few weeks of legislative work in DC, I look forward to a dedicated week back at home in the Fourth District of Oklahoma. Hope to see you at one of my town hall meetings on Monday:  https://bit.ly/2u6t1zo  pic.twitter.com/uGn1g2Wh7j",1106249537608470529,2019-03-14,17:43:37,tomcoleok04,2,0,8,2019-03-14 17:43:37
"As we recognize our agricultural producers today, I am proud to report that last Congress, we successfully passed and @POTUS signed into law the #FarmBill - which is vital to the success of our nation's farmers and ranchers! #NationalAgDay https://cole.house.gov/media-center/weekly-columns/supporting-rural-america …",1106238924140277767,2019-03-14,17:01:27,tomcoleok04,0,1,6,2019-03-14 17:01:27
Happy #NationalAgDay to the farmers and ranchers across America and specifically to those in the Fourth District of Oklahoma! https://twitter.com/HouseAgGOP/status/1106206389930741765 …,1106238923439775752,2019-03-14,17:01:26,tomcoleok04,1,3,8,2019-03-14 17:01:26
"While I don’t support all of the president’s #budget recommendations for FY 2020, I think he is on the right track to emphasize defense funding and to restrain some domestic spending. My full statement: https://cole.house.gov/media-center/press-releases/cole-statement-fy-2020-president-budget-request …",1105594372333146119,2019-03-12,22:20:13,tomcoleok04,4,4,13,2019-03-12 22:20:13
"Despite claims to the contrary, the Democrats' #HR1 passed last week is not a bill to ensure more American citizens exercise their right to vote or participate in making their views heard. Read more: https://cole.house.gov/media-center/weekly-columns/rushed-and-partisan-product …",1105127528623157248,2019-03-11,15:25:09,tomcoleok04,15,2,14,2019-03-11 15:25:09
"In Oklahoma, where our election system is seen as highly successful and widely recognized, #HR1's proposed mandates would needlessly increase the cost of elections statewide and in every county.",1104124780771454976,2019-03-08,21:00:36,tomcoleok04,12,5,11,2019-03-08 21:00:36
"#HR1 would disrupt and infringe upon the role states play in conducting their own elections. While some states are clearly more successful than others, it is alarming that Democrats want to force our 50 separate and unique states to operate under the same guidelines.",1104124779945172992,2019-03-08,21:00:35,tomcoleok04,5,7,14,2019-03-08 21:00:35
