tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"One guac, two guac, three guac, four – shut down the border and guac no more. The Super Bowl is four weeks away. Be smart, Mr. President. https://www.freshplaza.com/article/9057900/mexico-expects-to-export-120-tons-of-avocado-to-the-usa-for-super-bowl/ …",1081223976448393216,2019-01-04,16:20:58,repgonzalez,4,6,11,2019-01-04 16:20:58
It is my honor to vote for @NancyPelosi to become the Speaker of the House. Let’s get to work! #ForThePeople #DemsTakeTheHouse,1080894231202484224,2019-01-03,18:30:41,repgonzalez,4,5,25,2019-01-03 18:30:41
Proud to announce nearly a half million dollars in broadband funding for Jim Hogg County on #RuralBroadbandDay. We need to invest more in rural and digital infrastructure to ensure that no person in rural America is left behind. https://gonzalez.house.gov/media/press-releases/congressman-vicente-gonzalez-announces-nearly-500000-broadband-jim-hogg-county …,1156569239341424640,2019-07-31,14:16:09,repgonzalez,3,2,6,2019-07-31 14:16:09
"Today in 1965, President LBJ signed #Medicare & #Medicaid into law providing access to quality, affordable healthcare for millions of Americans. Healthcare is a human right & I promise to fight to ensure that no one in #TX15 is denied access to healthcare b/c it is too expensive. pic.twitter.com/7jauumQjBz",1156278537801912321,2019-07-30,19:01:00,repgonzalez,0,0,3,2019-07-30 19:01:00
"As @HouseDemocrats pass the 200 day milestone, we have delivered transformative progress on our promises #ForThePeople. From increased infrastructure spending to protecting people w/ pre-existing conditions, I promise to continue fighting on behalf of #TX15. pic.twitter.com/l9Y2ApxX61",1156248281070088193,2019-07-30,17:00:46,repgonzalez,2,4,6,2019-07-30 17:00:46
".@USDA_NRCS has begun accepting applications for funding for conservation easements on flood prone lands. Given the two years of devastating flooding in Central and South Texas, I encourage our landowners in #TX15 to apply for these grants. https://gonzalez.house.gov/media/press-releases/congressman-gonzalez-encourages-south-and-central-texans-apply-usda-assistance …",1156216970653700097,2019-07-30,14:56:21,repgonzalez,1,0,1,2019-07-30 14:56:21
"On Thursday, I testified before @EnergyCommerce on the PHAIR Pricing Act introduced by myself and @RepDougCollins This bipartisan bill would increase transparency in our drug supply chain, lower prescription drug costs for seniors & protect our community pharmacists. pic.twitter.com/UPb9d1H1TM",1154828877916758016,2019-07-26,19:00:34,repgonzalez,5,14,33,2019-07-26 19:00:34
"Today, we celebrate the 29th anniversary of the Americans with Disabilities Act. This bill outlawed discrimination based on disability and promoted accessibility in public spaces. Equality and inclusivity is critical for our country to thrive. #ADA29 pic.twitter.com/RbtNSb3S0b",1154802926931599360,2019-07-26,17:17:27,repgonzalez,0,4,6,2019-07-26 17:17:27
"On Wednesday, I joined my colleagues to introduce a bipartisan bill that would ensure fairness for Social Security benefits payments for our teachers, firefighters and other public servants. No one should be penalized for serving their community. https://gonzalez.house.gov/media/press-releases/congressman-gonzalez-brady-and-bipartisan-group-lawmakers-introduce-bill …",1154769508705427457,2019-07-26,15:04:40,repgonzalez,1,4,7,2019-07-26 15:04:40
"Today, we celebrate the interns of past and present who have come through my office. On behalf of the 15th District of Texas, I thank you for your service. Happy #NationalInternDay! pic.twitter.com/W2NymykQrY",1154434466456227843,2019-07-25,16:53:19,repgonzalez,3,8,15,2019-07-25 16:53:19
"GREAT NEWS! The House just passed the bipartisan #StopBadRobocalls Act to stop the onslaught of robocalls once and for all. This comprehensive bill requires every call to be verified, allows the blocking of spam calls, and empowers @FCC to protect Americans from scammers. pic.twitter.com/6HT1s9KGO9",1154140760066932736,2019-07-24,21:26:14,repgonzalez,3,2,17,2019-07-24 21:26:14
"Today, the @NSF awarded a grant to @utrgv for scientists to better study the origins of the universe. I will continue to do all I can to provide them with resources for research and development to continue their advancements in observing space and time. https://gonzalez.house.gov/media/press-releases/congressman-gonzalez-announces-almost-375000-national-science-foundation-grant …",1154053173419675648,2019-07-24,15:38:12,repgonzalez,4,6,18,2019-07-24 15:38:12
"We were honored to present a U.S. flag to the Amado Garcia family at his memorial service in Benavides. Mr. Garcia lived a life of service as a Marine, Vietnam War veteran and firefighter for 30 years. Thank you for your service & rest in peace. pic.twitter.com/oZj7RGqFkd",1153749358027911170,2019-07-23,19:30:57,repgonzalez,1,0,11,2019-07-23 19:30:57
"#OTD 50 years ago, Astronaut Neil Armstrong uttered the famous words: “That’s one small for man, one giant leap for mankind,” as he stepped onto the surface of the moon. #Apollo11 #Apollo50th
 https://www.cnn.com/videos/us/2019/07/18/apollo-11-moon-landing-scn-orig.cnn … pic.twitter.com/MKy3gpwdmB",1152639455360102400,2019-07-20,18:00:35,repgonzalez,1,2,4,2019-07-20 18:00:35
"Today, 171 years ago, the birth of the women’s suffrage movement was born at the #SenecaFallsConvention. We must continue fighting as allies and empower all women as we strive to achieve #equality for all. pic.twitter.com/2GMT62YO6Q",1152311211264020481,2019-07-19,20:16:16,repgonzalez,1,0,7,2019-07-19 20:16:16
"This is the longest period in history without an increase in the minimum wage. On Thursday, I voted YES on the #RaisetheWage Act, which would gradually raise the minimum wage to $15 by 2025. #ForThePeople https://www.nytimes.com/2019/07/18/us/politics/minimum-wage.html …",1152228207648808960,2019-07-19,14:46:26,repgonzalez,6,2,21,2019-07-19 14:46:26
"Today, we commemorate #MandelaDay and celebrate his legacy as a warrior for social justice, equality, peace & reconciliation. As a global community, we should honor the values of @NelsonMandela of volunteering and service in our own communities. pic.twitter.com/SwPk9E2kyu",1151869418529611776,2019-07-18,15:00:44,repgonzalez,1,1,8,2019-07-18 15:00:44
"On Wednesday, @RepGallego, @RepEscobar, @RepGrijalvaCS, @RepDarrenSoto & I introduced the Protecting Immigrant Gold Star & Military Families Act to protect immediate family members of undocumented active duty servicemembers & #veterans from deportation. https://gonzalez.house.gov/media/press-releases/representatives-gonzalez-gallego-grijalva-soto-and-escobar-introduce-bill …",1151844803627364353,2019-07-18,13:22:56,repgonzalez,2,4,21,2019-07-18 13:22:56
"My @FSCDems bill, the Strengthening Fraud Protection Provisions for #SEC Enforcement Act, cracks down on securities law violators. This bill is a conscious vote & anyone who votes no is in the pockets of corporate crooks. #ForThePeople pic.twitter.com/T6mGKwrcTD",1151539009539235840,2019-07-17,17:07:49,repgonzalez,1,0,1,2019-07-17 17:07:49
".@julissaarce is 100% right. There’s no good reason or policy Americans can't donate to & volunteer at migrant detention centers. The CARIDAD Act allows donations like clothing, toothbrushes & aid for children & families to be accepted at these centers. https://time.com/5627056/migrant-detention-centers-donations-policy/ …",1151481589123166208,2019-07-17,13:19:38,repgonzalez,4,3,14,2019-07-17 13:19:38
We must strengthen our ability to prevent fraud and punish bad actors in such a way that will deter others from engaging in deceitful financial practices ever again. #ForThePeople https://twitter.com/FSCDems/status/1151212051802537985 …,1151214452177551360,2019-07-16,19:38:08,repgonzalez,0,2,9,2019-07-16 19:38:08
"50 year ago, #Apollo11 launched into space & put mankind amongst the stars. As Americans, we should let #Apollo11 serve as a rallying cry on other issues. If we can send a man to the moon, we can find common ground on other issues facing our country. https://www.engadget.com/2019/07/16/watch-cbs-livestream-the-1969-apollo-11-launch-broadcast/ …",1151152062513766407,2019-07-16,15:30:13,repgonzalez,1,1,5,2019-07-16 15:30:13
This is Cooper - an adopted rescue dog and Chief Morale Officer for our office! He supports the #PACTAct to prevent animal cruelty and so should you! pic.twitter.com/164VMDhNzm,1150889190248321024,2019-07-15,22:05:40,repgonzalez,6,25,78,2019-07-15 22:05:40
"Yesterday, I spoke with @GeoffRBennett on @MSNBC regarding the racist comments @realDonaldTrump made toward @AOC @Ilhan @RepRashida & @RepPressley. They are Americans & patriots. The @GOP have a responsibility to speak up & condemn these attacks & do what’s right for our country. pic.twitter.com/NIu1Ip9BGq",1150820788762755072,2019-07-15,17:33:51,repgonzalez,9,4,15,2019-07-15 17:33:51
